day	loc_a	loc_b	time_a_raw	time_b_raw	time_a	time_b	mode
20171003	1	12	11:15	11:45	11.25	11.75	1
20171003	12	6	13:48	14:00	13.80	14.00	2
20171003	6	9	14:20	14:24	14.33	14.40	2
20171003	9	10	16:49	16:51	16.82	16.85	2
20171003	10	1	19:03	19:36	19.05	19.60	1
20171004	1	12	11:37	11:56	11.62	11.93	1
20171004	12	7	13:10	13:17	13.17	13.28	2
20171004	7	13	14:23	14:28	14.38	14.47	2
20171004	13	4	14:44	14:54	14.73	14.90	2
20171004	4	2	15:27	15:32	15.45	15.53	2
20171004	2	1	16:40	17:00	16.67	17.00	1
20171004	1	9	18:33	19:05	18.55	19.08	1
20171004	9	1	21:48	22:00	21.80	22.00	3
20171005	1	12	11:10	11:39	11.17	11.65	1
20171005	12	9	13:57	14:14	13.95	14.23	2
20171005	9	6	16:53	17:01	16.88	17.02	2
20171005	6	10	17:13	17:20	17.22	17.33	2
20171005	10	6	18:40	18:44	18.67	18.73	2
20171005	6	1	22:33	23:07	22.55	23.12	1
20171006	1	2	11:41	12:00	11.68	12.00	4
20171006	2	7	13:06	13:26	13.10	13.43	1
20171006	7	5	14:26	14:35	14.43	14.58	2
20171006	5	8	15:03	15:15	15.05	15.25	2
20171006	8	1	15:38	16:12	15.63	16.20	1
20171006	1	19	19:07	20:00	19.12	20.00	4
20171007	19	18	8:03	8:10	8.05	8.17	4
20171007	18	11	8:30	9:01	8.50	9.02	4
20171007	11	1	12:05	12:33	12.08	12.55	1
20171007	1	15	22:27	22:32	22.45	22.53	4
20171007	15	14	23:19	23:31	23.32	23.52	4
20171008	14	1	1:49	1:53	1.82	1.88	4
20171008	1	17	18:46	19:09	18.77	19.15	3
20171008	17	16	20:30	20:57	20.50	20.95	4
20171008	16	1	21:20	21:29	21.33	21.48	4
20171009	1	2	11:43	12:02	11.72	12.03	1
20171009	2	1	13:40	13:58	13.67	13.97	1
20171009	1	6	15:37	15:55	15.62	15.92	1
20171009	6	3	16:50	17:00	16.83	17.00	2
20171009	2	6	18:20	18:34	18.33	18.57	2
20171009	6	1	21:16	21:50	21.27	21.83	1
20171010	1	12	11:15	11:34	11.25	11.57	1
20171010	12	9	14:11	14:21	14.18	14.35	2
20171010	9	10	16:45	16:47	16.75	16.78	2
20171010	10	1	18:42	19:07	18.70	19.12	1
